statement_id,claim,source_type,source_link_or_citation_key,verification_status,owner,last_checked_at
S001,"Alibaba cluster-trace-v2018 covers about 4000 machines over 8 days.",official_dataset_doc,https://raw.githubusercontent.com/alibaba/clusterdata/master/cluster-trace-v2018/trace_2018.md,verified,codex,2026-03-10
S002,"machine_usage.tar.gz is about 1.7 GiB compressed in the official release.",official_dataset_doc,https://raw.githubusercontent.com/alibaba/clusterdata/master/cluster-trace-v2018/trace_2018.md,verified,codex,2026-03-10
S003,"Springer Nature recommends its journal LaTeX authoring template and pdflatex-compatible local compilation.",official_author_guide,https://www.springernature.com/gp/authors/campaigns/latex-author-support/see-where-our-services-will-take-you/18782940,verified,codex,2026-03-10
S004,"Cluster Computing is the primary journal route for this workbench because the scope best matches cluster resource management.",editorial_inference,https://link.springer.com/journal/10586,partially_verified,codex,2026-03-10
S005,"The current workbench now contains a trained uncertainty-aware surrogate and a first aggregate-level proactive-control comparison.",local_project_status,paper-workbench/00-status.md,verified,codex,2026-03-10
S006,"The processed aggregate Alibaba v2018 workload artifact currently contains 11,208 observed one-minute samples.",local_project_artifact,paper-workbench/data/processed/cluster_series_v2018.csv,verified,codex,2026-03-10
S007,"The 2025 Cluster Computing workload-forecasting paper by Rossi et al. exposes a substantially larger evidence surface than the initial draft, with about 70 references and 11 figures visible on the official Springer article page.",official_article_page,https://link.springer.com/article/10.1007/s10586-024-04933-2,verified,codex,2026-03-10
S008,"The 2019 Cluster Computing autoscaling paper by Casalicchio exposes about 37 references and 7 figures on the official Springer article page.",official_article_page,https://link.springer.com/article/10.1007/s10586-018-02890-1,verified,codex,2026-03-10
S009,"The current predictive policy reduces over-provisioning from 0.3506 to 0.1410 relative to the reactive threshold baseline on the aggregate 5-minute evaluation route, while SLA violation is 0.0346.",local_project_artifact,paper-workbench/experiments/results/metrics.csv,verified,codex,2026-03-10
S010,"Under the leakage-free split, linear regression achieves the lowest average MAE (3.514) across the 1-, 5-, and 10-minute horizons, while random forest is best at the 5-minute horizon (3.9283).",local_project_artifact,paper-workbench/experiments/results/metrics.csv,verified,codex,2026-03-10
